closest_mt_transfer,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt
B152TH,26482.3747,4244593,160.2799,0.1622,26.9768,20.3695,43.4459,18.983,24.4629,926463,4016981,0.2306,249691,4016981,0.0622,734624,3956577,0.1857,792811,4244593,0.1868,3644463.0,600130.0,0.1414,99869.0,692942.0,0.874,3281581.0,963012.0,0.2269
BN25BE,5548.8254,1239200,223.3265,0.1095,18.272,21.0018,43.1782,20.3227,22.8555,128034,1160767,0.1103,62284,1160767,0.0537,203257,1136195,0.1789,277790,1239200,0.2242,1027712.0,211488.0,0.1707,58685.0,219105.0,0.7887,770688.0,468512.0,0.3781
BS105NB,29260.7401,3186643,108.9051,0.0983,16.7895,22.9332,59.573,21.818,37.755,292199,2967222,0.0985,138450,2967222,0.0467,476268,2908490,0.1638,658689,3186643,0.2067,2314821.0,871822.0,0.2736,165285.0,493404.0,0.7491,2417701.0,768942.0,0.2413
CB20QQ,44883.997,3508365,78.1652,0.0991,17.4072,24.1704,76.7368,23.033,53.7038,395839,3276571,0.1208,155014,3276571,0.0473,540360,3205668,0.1686,751711,3508365,0.2143,2112441.0,1395924.0,0.3979,216716.0,534995.0,0.7117,2985237.0,523128.0,0.1491
CF144XW,34190.7263,2379758,69.6024,0.1659,22.7414,20.0053,56.1472,18.8724,37.2748,170051,2290373,0.0742,186126,2290373,0.0813,513218,2250316,0.2281,481714,2379758,0.2024,1769672.0,610086.0,0.2564,44962.0,436752.0,0.9067,1761903.0,617855.0,0.2596
CV22DX,14794.8657,2623433,177.3205,0.1167,19.525,20.9814,42.4179,19.8476,22.5703,514347,2389684,0.2152,119371,2389684,0.05,382529,2341838,0.1633,462683,2623433,0.1764,2120230.0,503203.0,0.1918,55229.0,407454.0,0.8806,1616975.0,1006458.0,0.3836
E11BB,367.6352,1479138,4023.385,0.1725,28.1127,15.9919,15.3983,15.3983,0.0,862005,1258344,0.685,71161,1258344,0.0566,172211,1244247,0.1384,121918,1479138,0.0824,1479138.0,0.0,0.0,0.0,121918.0,1.0,0.0,1479138.0,1.0
HU32JZ,9069.2484,911857,100.5438,0.1608,27.3228,26.1582,40.7703,24.1239,16.6465,57581,896382,0.0642,54915,896382,0.0613,166504,882914,0.1886,195986,911857,0.2149,692472.0,219385.0,0.2406,72554.0,123432.0,0.6298,358846.0,553011.0,0.6065
L97AL,25149.1491,3011252,119.7357,0.1679,27.5519,19.6253,48.1047,19.0259,29.0788,191785,2910138,0.0659,207558,2910138,0.0713,600847,2863105,0.2099,617328,3011252,0.205,2490489.0,520763.0,0.1729,57376.0,559952.0,0.9071,2141889.0,869363.0,0.2887
LS13EX,21646.3708,3132249,144.7009,0.1394,25.4032,21.1019,41.1433,19.0246,22.1187,530433,2972500,0.1784,167969,2972500,0.0565,508377,2916532,0.1743,568395,3132249,0.1815,2645752.0,486497.0,0.1553,82681.0,485714.0,0.8545,2270716.0,861533.0,0.2751
M68HD,6024.5208,3000451,498.0398,0.1678,29.1704,18.8777,33.8839,18.5664,15.3175,554136,2833323,0.1956,185957,2833323,0.0656,523235,2786368,0.1878,489553,3000451,0.1632,2924635.0,75816.0,0.0253,9047.0,480506.0,0.9815,1784879.0,1215572.0,0.4051
NE14LP,46768.7995,3125367,66.8259,0.1621,26.7612,21.5814,51.6716,20.1623,31.5093,182141,3038037,0.06,217953,3038037,0.0717,619758,2981284,0.2079,646353,3125367,0.2068,2390123.0,735244.0,0.2353,114225.0,532128.0,0.8233,2415148.0,710219.0,0.2272
