closest_mt_unit,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt
B152TH,16630.5168,3689317,221.8402,0.171,28.3717,18.8228,39.4996,17.7014,21.7982,893804,3487934,0.2563,221341,3487934,0.0635,641831,3436939,0.1867,667607,3689317,0.181,3293535.0,395782.0,0.1073,40392.0,627215.0,0.9395,2726305,963012,0.261
BN25BE,8410.5179,1610232,191.4546,0.1029,17.3477,22.2792,48.8884,21.6972,27.1912,179888,1507975,0.1193,76677,1507975,0.0508,253444,1477066,0.1716,353886,1610232,0.2198,1298359.0,311873.0,0.1937,85894.0,267992.0,0.7573,1141720,468512,0.291
BS105NB,21909.3985,2837790,129.5239,0.1003,17.0939,22.3108,56.701,21.2075,35.4935,268444,2640896,0.1016,125483,2640896,0.0475,426634,2585854,0.165,577502,2837790,0.2035,2151323.0,686467.0,0.2419,124615.0,452887.0,0.7842,2068848,768942,0.271
CB20QQ,39560.3278,3148887,79.5971,0.1005,17.6917,23.6495,75.6794,22.5003,53.179,377395,2933464,0.1287,138970,2933464,0.0474,482085,2871267,0.1679,668106,3148887,0.2122,1816478.0,1332409.0,0.4231,174592.0,493514.0,0.7387,2625759,523128,0.1661
CF144XW,32993.0202,2431080,73.6847,0.1647,22.805,19.7515,56.1497,18.6224,37.5273,174562,2336793,0.0747,188457,2336793,0.0806,520372,2295752,0.2267,492840,2431080,0.2027,1817573.0,613507.0,0.2524,45106.0,447734.0,0.9085,1813225,617855,0.2541
CV22DX,14538.5591,2639440,181.5476,0.1177,19.7166,21.4034,42.9832,20.0609,22.9224,504663,2414687,0.209,121559,2414687,0.0503,386720,2372535,0.163,467053,2639440,0.177,2113797.0,525643.0,0.1991,82486.0,384567.0,0.8234,1632982,1006458,0.3813
E11BB,732.8492,2009981,2742.6939,0.1583,25.5144,16.4627,24.2756,16.0324,8.2432,1002111,1753330,0.5715,95418,1753330,0.0544,248196,1734481,0.1431,205707,2009981,0.1023,2009981.0,0.0,0.0,0.0,205707.0,1.0,530843,1479138,0.7359
HU32JZ,18181.8451,1186946,65.2819,0.155,26.7371,32.2293,53.5994,29.2502,24.3492,69597,1163286,0.0598,73505,1163286,0.0632,224019,1144195,0.1958,271618,1186946,0.2288,816707.0,370239.0,0.3119,134046.0,137572.0,0.5065,633935,553011,0.4659
L97AL,19825.5571,2712044,136.7953,0.1732,28.3513,18.884,46.994,18.3263,28.6677,174719,2624704,0.0666,192057,2624704,0.0732,550809,2581489,0.2134,554226,2712044,0.2044,2300810.0,411234.0,0.1516,46427.0,507799.0,0.9162,1842681,869363,0.3206
LS13EX,20358.9076,2956212,145.2048,0.1385,25.3094,19.7462,39.706,17.948,21.758,521492,2805046,0.1859,156658,2805046,0.0558,474253,2751032,0.1724,528824,2956212,0.1789,2495540.0,460672.0,0.1558,64070.0,464754.0,0.8788,2094679,861533,0.2914
M68HD,6806.7175,3202143,470.4386,0.1644,28.5709,19.1828,34.5894,18.8172,15.7722,566871,3024168,0.1874,196294,3024168,0.0649,555046,2975521,0.1865,528586,3202143,0.1651,3095699.0,106444.0,0.0332,8004.0,520582.0,0.9849,1986571,1215572,0.3796
NE14LP,36544.9711,2910996,79.6552,0.1664,27.2439,19.5996,47.0562,18.4235,28.6328,175653,2824455,0.0622,205631,2824455,0.0728,579438,2771750,0.2091,592856,2910996,0.2037,2302470.0,608526.0,0.209,61763.0,531093.0,0.8958,2200777,710219,0.244
NG72UH,19885.4436,2727879,137.1797,0.1223,20.4291,21.0873,45.1863,19.913,25.2733,341244,2533015,0.1347,142937,2533015,0.0564,457843,2476953,0.1848,524876,2727879,0.1924,2123842.0,604037.0,0.2214,91192.0,433684.0,0.8263,1829680,898199,0.3293
NW12BU,3718.5517,3380266,909.0276,0.129,19.9958,17.4319,36.6733,17.0481,19.6252,1569876,3075729,0.5104,152072,3075729,0.0494,427778,3033677,0.141,469383,3380266,0.1389,3274988.0,105278.0,0.0311,12010.0,457373.0,0.9744,1978044,1402222,0.4148
