icb_code,polygon_area_km2,population_all_x,population_density,income_domain_weighted_mean,imd_weighted_mean,weighted_ivt_time,mt_time_weighted_mean,ivt_time_weighted_mean,mt_transfer_time_weighted_mean,ethnic_group_other_than_white_british,ethnic_group_all_categories_ethnic_group,ethnic_minority_proportion,bad_or_very_bad_health,all_categories_general_health,bad_health_proportion,long_term_health_count,all_categories_long_term_health_problem_or_disability,long_term_health_proportion,age_65_plus_count,population_all_y,age_65_plus_proportion,ural_False,ural_True,proportion_rural,ver_65_within_30_False,ver_65_within_30_True,proportion_over_65_within_30,closest_is_m_False,closest_is_m_True,proportion_closest_is_mt
E54000034,1545.7372,746739.0,483.0957,0.0777,12.3575,17.6192,59.7358,18.0896,41.6462,187160.0,706485.0,0.2649,25035.0,706485.0,0.0354,86526.0,692927.0,0.1249,121705.0,746739.0,0.163,707154.0,39585.0,0.053,0.0,121705.0,1.0,746739.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E54000011,9462.8873,506737.0,53.5499,0.1172,19.9197,24.8005,70.9191,23.1159,47.8032,31627.0,472770.0,0.0669,25831.0,472770.0,0.0546,83440.0,462623.0,0.1804,112955.0,506737.0,0.2229,310221.0,196516.0,0.3878,26790.0,86165.0,0.7628,501288.0,5449.0,0.0108
E54000061,4376.2103,1415054.0,323.3515,0.1635,28.971,17.5679,31.3843,16.776,14.6083,160422.0,1343601.0,0.1194,95260.0,1343601.0,0.0709,271546.0,1321137.0,0.2055,256086.0,1415054.0,0.181,1315357.0,99697.0,0.0705,427.0,255659.0,0.9983,655973.0,759081.0,0.5364
E54000013,16411.4344,766333.0,46.6951,0.1197,20.2236,33.1057,83.819,31.2109,52.6081,49912.0,713653.0,0.0699,42050.0,713653.0,0.0589,138345.0,698748.0,0.198,182278.0,766333.0,0.2379,412395.0,353938.0,0.4619,96969.0,85309.0,0.468,715140.0,51193.0,0.0668
E54000043,6940.8623,640650.0,92.3012,0.0923,14.9068,23.6461,67.195,22.4131,44.7819,50385.0,596984.0,0.0844,26552.0,596984.0,0.0445,94530.0,586018.0,0.1613,139420.0,640650.0,0.2176,452442.0,188208.0,0.2938,36062.0,103358.0,0.7413,614723.0,25927.0,0.0405
E54000022,15571.7822,1032661.0,66.3162,0.1198,21.658,24.4923,104.5528,22.9174,81.6354,69671.0,973142.0,0.0716,55778.0,973142.0,0.0573,188557.0,954561.0,0.1975,257855.0,1032661.0,0.2497,553120.0,479541.0,0.4644,69178.0,188677.0,0.7317,1032661.0,0.0,0.0
E54000062,964.1311,1202528.0,1247.2661,0.1979,31.0262,13.3964,37.1404,13.0956,24.0447,291726.0,1139781.0,0.2559,81518.0,1139781.0,0.0715,227813.0,1129249.0,0.2017,208813.0,1202528.0,0.1736,1201013.0,1515.0,0.0013,0.0,208813.0,1.0,1183358.0,19170.0,0.0159
E54000031,761.7985,1509741.0,1981.8115,0.1032,16.0125,17.064,27.0775,16.7107,10.3668,605674.0,1407262.0,0.4304,55445.0,1407262.0,0.0394,172090.0,1389246.0,0.1239,201662.0,1509741.0,0.1336,1509741.0,0.0,0.0,0.0,201662.0,1.0,516709.0,993032.0,0.6577
E54000018,5548.2863,963173.0,173.5983,0.1163,19.7142,22.8129,22.7296,21.2426,1.4871,168639.0,862434.0,0.1955,45812.0,862434.0,0.0531,143320.0,845231.0,0.1696,171698.0,963173.0,0.1783,768910.0,194263.0,0.2017,33338.0,138360.0,0.8058,53056.0,910117.0,0.9449
